Latitude,Longitude,Cost
56.709846,-111.35407,3.366541453229067
56.70838673717006,-111.35027821616254,5.850471050030585
56.70692747434011,-111.34648672597052,5.715010002335373
56.70546821151017,-111.34269552938248,5.733225623369136
56.70400894868023,-111.33890462635696,5.840065207719191
56.702549685850286,-111.33511401685246,5.919619462261162
56.70775709323829,-111.35671880983014,4.859111256451354
56.70629783040835,-111.35292713359947,5.189205736667808
56.704838567578406,-111.34913575098433,5.709936277634082
56.703379304748466,-111.34534466194324,5.775677743010231
56.70192004191853,-111.34155386643475,5.834095795963813
56.70046077908858,-111.33776336441738,5.898602600337289
56.705668186476586,-111.35936732603273,5.425352708317115
56.70420892364665,-111.35557575740818,5.40612557452531
56.7027496608167,-111.35178448236923,5.636822532202174
56.70129039798676,-111.34799350087442,5.77460682428804
56.69983113515682,-111.34420281288229,5.83668439684324
56.698371872326874,-111.34041241835139,5.888457726121132
56.70357927971488,-111.36201554866713,5.642894555526621
56.70212001688494,-111.35822408764801,5.603658103562996
56.700660754054994,-111.35443292018458,5.668069026830313
56.699201491225054,-111.35064204623536,5.76795854028624
56.697742228395114,-111.34685146575893,5.835922358898398
56.69628296556517,-111.34306117871382,5.884105396252572
56.701490372953174,-111.36466347779272,5.764444066622668
56.700031110123234,-111.36087212437833,5.724812280132024
56.69857184729329,-111.35708106448973,5.734817813409544
56.69711258446335,-111.35329029808544,5.784668922752305
56.69565332163341,-111.34949982512403,5.838928494179386
56.69419405880346,-111.34570964556406,5.883186025035613
56.69940146619147,-111.3673111134688,5.8436105849082365
56.69794220336153,-111.36351986765848,5.8065820651707805
56.69648294053158,-111.35972891534402,5.797459302418094
56.69502367770164,-111.35593825648398,5.816809434396512
56.6935644148717,-111.35214789103692,5.851230140005692
56.692105152041755,-111.34835781896139,5.886939353420676
