Latitude,Longitude,Cost
56.709846,-111.35407,6.332088133656988
56.727444790205276,-111.36094442409961,7.719085155915541
56.74504358041055,-111.36782527725494,6.16666666666667
56.76264237061583,-111.37471257043545,6.16666666666667
56.78024116082111,-111.38160631463361,6.16666666666667
56.79783995102639,-111.38850652086495,6.16666666666667
56.7219091412173,-111.32980774712276,4.837965966943021
56.73950793142258,-111.33667303142795,6.16666666666667
56.757106721627856,-111.34354473689972,6.16666666666667
56.77470551183313,-111.3504228744991,6.16666666666667
56.79230430203841,-111.35730745521013,6.16666666666667
56.809903092243694,-111.3641984900398,6.16666666666667
56.73397228243461,-111.30552994710472,6.16666666666667
56.751571072639884,-111.31238607565149,6.16666666666667
56.76916986284516,-111.31924861745334,6.16666666666667
56.78676865305044,-111.32611758346285,6.16666666666667
56.804367443255714,-111.33299298465549,6.16666666666667
56.821966233461,-111.33987483202978,6.16666666666667
56.74603542365191,-111.281236581771,6.16666666666667
56.76363421385719,-111.28808353856866,6.16666666666667
56.781233004062464,-111.2949369006875,6.16666666666667
56.79883179426774,-111.30179667907154,6.16666666666667
56.81643058447302,-111.30866288468773,6.16666666666667
56.834029374678295,-111.31553552852606,6.16666666666667
56.758098564869215,-111.25692763292064,6.16666666666667
56.77569735507449,-111.26376540195176,6.16666666666667
56.79329614527977,-111.2706095683477,6.16666666666667
56.810894935485045,-111.27746014304387,6.16666666666667
56.82849372569032,-111.28431713699865,6.16666666666667
56.8460925158956,-111.29118056119341,6.16666666666667
56.77016170608651,-111.23260308232652,6.16666666666667
56.787760496291796,-111.23943164754691,6.16666666666667
56.80535928649707,-111.2462666021532,6.16666666666667
56.82295807670235,-111.2531079570722,6.16666666666667
56.840556866907626,-111.25995572325367,6.16666666666667
56.8581556571129,-111.26680991167032,6.16666666666667
